day_fiji,storefront,saved_requests_raw,duplicates_dropped,saved_requests_dedup,human_confirmed_bookings,completed_trips,cancelled_bookings,system_status_completed,system_status_pending,system_driver_assigned,quoted_value_fjd_dedup,collected_revenue_fjd
2026-08-10,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-10,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-11,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-11,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-11,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-11,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-12,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-12,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-12,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-12,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-13,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-13,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-13,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-13,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-14,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-14,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-14,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-14,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-15,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-15,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-15,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-15,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-16,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-16,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-16,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-16,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-17,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-17,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-17,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-17,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-18,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-18,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-18,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-18,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-19,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-19,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-19,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-19,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-20,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-20,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-20,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-20,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-21,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-21,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-21,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-21,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-22,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-22,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-22,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-22,NO_REF_UNATTRIBUTED,1,0,1,UNKNOWN,UNKNOWN,UNKNOWN,0,1,0,178.95,UNKNOWN
2026-08-23,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-23,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-23,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-23,NO_REF_UNATTRIBUTED,4,0,4,UNKNOWN,UNKNOWN,UNKNOWN,0,4,0,642.74,UNKNOWN
2026-08-24,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-24,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-24,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-24,NO_REF_UNATTRIBUTED,3,0,3,UNKNOWN,UNKNOWN,UNKNOWN,0,3,0,332.81,UNKNOWN
2026-08-25,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-25,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-25,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-25,NO_REF_UNATTRIBUTED,4,1,3,UNKNOWN,UNKNOWN,UNKNOWN,0,3,0,581.64,UNKNOWN
2026-08-26,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-26,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-26,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-26,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-27,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-27,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-27,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-27,NO_REF_UNATTRIBUTED,2,0,2,UNKNOWN,UNKNOWN,UNKNOWN,0,2,0,133.16,UNKNOWN
2026-08-28,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-28,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-28,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-28,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-29,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-29,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-29,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-29,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-30,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-30,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-30,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-30,NO_REF_UNATTRIBUTED,4,0,4,UNKNOWN,UNKNOWN,UNKNOWN,0,4,0,526.12,UNKNOWN
2026-08-31,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-31,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-08-31,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
